Day,Hour,talk_type,Speaker,Title
Monday,8:45-9:00,Introduction,,
Monday,9:00-10:30,Master Class,,
Monday,10:30-11:00,Coffee break,,
Monday,11:00-11:30,Contributed,,
Monday,11:30-12:00,Contributed,,
Monday,12:00-12:30,Contributed,,
Monday,12:30-14:00,Lunch,,
Monday,14:00-15:00,Invited talk,,
Monday,15:00-15:30,Coffee break,,
Monday,15:30-16:30,Invited talk,,
Monday,16:30-17:00,Snooze time,,
Monday,17:00-19:30,Poster session,,
Monday,19:30-21:00,Diner,,
Tuesday,9:00-10:30,Master Class,,
Tuesday,10:30-11:00,Coffee break,,
Tuesday,11:00-11:30,Contributed,,
Tuesday,11:30-12:00,Contributed,,
Tuesday,12:00-12:30,Contributed,,
Tuesday,12:30-14:00,Lunch,,
Tuesday,14:00-15:30,Master Class,,
Tuesday,15:30-16:00,Coffee break,,
Tuesday,16:00-17:00,Invited talk,,
Tuesday,17:00-19:30,Speed Mentoring,,
Tuesday,19:30-21:00,Diner,,
Wednesday,9:30-10:30,Invited talk,,
Wednesday,10:30-11:00,Coffee break,,
Wednesday,11:00-11:30,Contributed,,
Wednesday,11:30-12:00,Contributed,,
Wednesday,12:00-12:30,Contributed,,
Wednesday,12:30-14:00,Lunch,,
Wednesday,14:00-19:30,Social event,,
Wednesday,19:30-21:00,Diner,,
Thursday,9:30-11:00,Master Class,,
Thursday,11:00-11:30,Coffee break,,
Thursday,11:30-12:00,Contributed,,
Thursday,12:00-12:30,Contributed,,
Thursday,12:30-14:00,Lunch,,
Thursday,14:00-15:00,Invited talk,,
Thursday,15:00-15:30,Coffee break,,
Thursday,15:30-16:30,Invited talk,,
Thursday,17:30-18:00,Snooze time,,
Thursday,18:00-19:30,Social event,,
Thursday,19:30-21:00,Diner,,
Friday,9:30-10:00,Contributed,,
Friday,10:00-10:30,Contributed,,
Friday,10:30-11:00,Contributed,,
Friday,10:45-11:15,Coffee break,,
Friday,11:00-11:30,Closing,,
Friday,12:30-14:00,Lunch,,
